palabra,frecuencia
depresión,432
estrés,323
cuarentena,223
pandemia,211
salud,197
miedo,196
personas,125
crisis,117
mental,108
síntomas,99
vida,85
tiempos,84
angustia,80
ahora,76
día,76
pueden,73
yomequedoencasa,73
gente,72
días,72
ataques,71
ser,70
casos,70
casa,69
tener,69
va,67
noticias,67
confinamiento,66
bien,66
solo,65
así,63
insomnio,61
covid19,61
terapiaonline,59
hacer,58
cada,58
aislamiento,58
social,57
tiempo,55
situación,55
mundo,54
hace,53
problemas,52
falta,52
genera,51
niños,51
saludmental,51
pacientes,51
vez,50
sé,50
manejar,49
incertidumbre,49
vía,48
tristeza,48
mata,47
saber,47
ataque,46
alguien,46
mucha,46
importante,45
ayuda,44
tan,44
causa,43
personal,43
emociones,42
dio,42
siento,42
después,42
años,41
población,41
mejor,41
puedo,40
aquí,40
familia,40
consejos,40
preocupación,40
mx,39
dolor,39
quiero,39
información,39
gracias,39
sueño,38
trastornos,38
pánico,38
salir,37
medio,36
encierro,36
04,35
evitar,35
verdad,34
toda,34
debido,34
pensar,34
trabajo,34
atención,34
recomendaciones,34
pasa,33
sufren,33
instagram,33
nuevo,33
efectos,33
poder,32
emergencia,32
virus,32
peor,32
emocional,32
aire,32
hospital,32
amigos,32
voy,32
mal,31
covid__19,31
línea,31
estudio,31
meses,31
ir,30
contingencia,30
veces,30
podemos,30
prueba,29
respirar,29
etc,29
niveles,29
ayudar,29
enfermedad,28
menos,28
mas,28
riesgo,28
igshid,28
frente,28
dos,27
sientes,27
10,27
través,27
aún,26
nunca,26
manejo,26
tema,26
sentir,25
cuenta,25
bueno,25
psicología,25
pasado,25
tanta,25
fin,25
html,25
jóvenes,25
parte,25
favor,25
sociedad,25
mismo,25
siempre,24
país,24
van,24
mente,24
combatir,24
temor,24
generar,24
mamá,24
psicológico,24
dormir,24
soledad,24
matar,24
vivir,24
semana,24
cualquier,23
aumento,23
atender,23
violencia,23
ayer,23
horrible,23
hecho,23
quédateencasa,23
nivel,23
pecho,23
post,23
pues,22
trastorno,22
encuesta,22
puta,22
morir,22
psicológica,22
twitter,22
forma,22
todas,22
aunque,22
sanitaria,22
