id,user,fecha,tweet,noticia,pais,miedo,ira,expectante,confianza,sorpresa,tristeza,repulsion,alegria,depresion,positivo,negativo,emociones,polaridad,palabra,emocion,puntuacion,emocion2
1,Dra. Sugammadex,2020-05-09 23:47:55,Lo peor de ser médico en tiempos de covid: es que además tengas ansiedad y tú yo hipocondríaca sale de lo más profundo de tu ser ,Crisis Guayaquil,Mexico,2,1,1,1,0,2,0,0,0,1,2,"['miedo', 'tristeza']",negativo,ansiedad,miedo,0.594,miedo
2,Las Noticias Puebla,2020-05-09 23:10:08,¿Experimentas miedo o ansiedad por el confinamiento a causa del #Covid_19? Autoridades ponen a disposición la siguiente líneas telefónicas ,Crisis Guayaquil,Mexico,4,2,2,0,1,2,0,0,0,0,4,['miedo'],negativo,miedo,miedo,0.828,miedo
4,Daniel Montero DM MD,2020-05-09 21:16:46,"confinamiento + ansiedad + sedentario + menos acceso a alimentos saludables = aumento de peso

"" ockdown 15 o quarantine 15, en alusión a las supuestas 15 libras casi 7 kilos "" 

COVID-19: el resumen semanal (1-7 de mayo) - Medscape - 8 de mayo de 2020.",Crisis Guayaquil,Argentina,3,2,2,1,1,3,1,1,0,1,3,"['miedo', 'tristeza']",negativo,ansiedad,miedo,0.594,miedo
7,ardila11,2020-05-09 21:00:25,"Las afectaciones emocionales del personal de salud que está en la primera línea de atención de casos con COVID-19 aumentarán durante y después de la pandemia. Por el momento, muchos de ellos ya comienzan a presentar estados agudos de estrés, ansiedad y angustia",Crisis Guayaquil,Colombia,2,1,1,1,0,3,0,0,0,1,4,['tristeza'],negativo,angustia,tristeza,0.902,tristeza
8,UNICEF Nicaragua,2020-05-09 20:57:18," ¡Atención papá, mamá! Estos ejercicios de relajación con los niños, niñas  y adolescentes pueden ayudar disminuir su ansiedad durante la emergencia de #COVID-19 #Coronavirus 

Cuéntanos cómo fue la experiencia
Te leemos ",Crisis Guayaquil,Nicaragua,3,1,1,1,1,3,0,0,0,3,5,"['miedo', 'tristeza']",negativo,emergencia,miedo,0.719,miedo
13,Extensión Social UCAB,2020-05-09 20:05:04,"La actividad física regular puede ayudar a reducir el estrés y ansiedad, que muchos  sentimos a raíz de la pandemia de COVID-19. Realizar algún tipo de actividad física es mejor que no realizar ninguna. 
#AmandoYSirviendoJuntos",Crisis Guayaquil,Venezuela,2,1,2,2,0,2,0,2,0,6,4,"['miedo', 'expectante', 'confianza', 'tristeza', 'alegria']",positivo,ayudar,confianza,0.648,confianza
17,Steven San Lucas,2020-05-09 17:17:11,"Recordatorio 
Mensaje de a memo estilo nota con angustia y ansiedad 
Señores científicos apúrenle con la vacuna del COVID y ya deja ir a comer empanadas no seas así ",Crisis Guayaquil,Ecuador,1,1,1,0,0,2,0,0,0,3,2,['tristeza'],positivo,angustia,sorpresa,0.625,sorpresa
18,Karissa,2020-05-09 17:07:41,"salí a comprar y ya me siento con covid, pinche ansiedad qlera ",Crisis Guayaquil,Mexico,1,1,1,0,0,1,0,0,0,0,1,"['miedo', 'ira', 'expectante', 'tristeza']",negativo,ansiedad,miedo,0.594,miedo
21,Subred Centro Oriente E.S.E,2020-05-09 16:23:14,"El embarazo es un periodo muy especial cargado de emoción. Para las futuras mamás que se enfrentan al brote del (COVID-19), el miedo y la ansiedad es de preocupación. ¡No olvides recibir orientación profesional! Ellos siempre van a estar para ti y tu bebé.
#GraciasHéroes",Crisis Guayaquil,Colombia,4,1,4,1,2,3,0,3,1,4,5,"['miedo', 'expectante']",negativo,miedo,miedo,0.828,miedo
22,Ciencia del Sur,2020-05-09 16:21:36,"Una encuesta de la Universidad Nacional de Caaguazú y del Instituto Nacional de Salud, del 
@msaludpy
, muestra un elevado número de personas afectadas por ansiedad y depresión, a raíz de la cuarentena obligatoria en Paraguay por la pandemia de COVID-19.",Crisis Guayaquil,Paraguay,3,1,2,1,0,3,0,0,0,1,4,"['miedo', 'tristeza']",negativo,depresión,tristeza,0.925,tristeza
